employerName,jobUrl,employerProfileId,applications,employerId,jobId,employerProfileName,jobTitle,maximumSalary,expirationDate,date,minimumSalary,currency,jobDescription,locationName
Adria Solutions,https://www.reed.co.uk/jobs/business-analyst/54605948,,156,302092,54605948,,Business Analyst,50000.0,18/04/2025,07/03/2025,40000.0,GBP,"Business Analyst – Hybrid Working – Up to 50K On behalf of our growing client based in Horsham, we are recruiting for an experienced Business Analyst. As Business Analyst, you will be hands-on in analysing requirements, designing, and prototyping solutions and designing test plans for an expanding software development team. The Business Analyst will be responsible for: An integral part of the IT Leadership Team, leading the IT Operations team, e... ",Horsham
Pro-Finance,https://www.reed.co.uk/jobs/senior-financial-modelling-analyst/54589926,,79,339255,54589926,,Senior Financial Modelling Analyst,70000.0,16/04/2025,05/03/2025,68000.0,GBP,"Senior Financial Modelling Analyst | 68,000 - 70,000 | 12-month FTC | Fully Remote For the UK's largest not-for-profit social enterprise, we are recruiting a Senior Financial Modelling / Planning Analyst for a 12-month FTC. This role will be key, in developing, implementing, and reviewing complex commercial bids and acquisitions and modelling long-term contracts. This role will review and support other work, and will implement modelling best pra... ",London
Harnham - Data & Analytics Recruitment,https://www.reed.co.uk/jobs/ai-engineer/54627833,,35,331522,54627833,,AI Engineer,150000.0,22/04/2025,11/03/2025,130000.0,GBP,"AI Engineer / ML Engineer - CRYPTO - REMOTE We are collaborating with a cryptocurrency analytics firm that assists clients in identifying market opportunities, conducting due diligence, and protecting portfolios. The company is expanding its strategic capabilities in AI &amp; ML. They are seeking a skilled and driven Senior AI/ML Engineer to join their team. In this position, you will design and manage AI models to process extensive blockchain d... ",Manchester
Morgan Hunt Recruitment,https://www.reed.co.uk/jobs/senior-workforce-intelligence-analyst/54623692,,41,381223,54623692,,Senior Workforce Intelligence Analyst,24.34,08/04/2025,11/03/2025,21.72,GBP,"Morgan Hunt requires a Senior Workforce Intelligence Analyst for NHS based in North London Pay Rate: 21.72ph PAYE 2.62ph WTR = Total 24.34ph Hours 37.5 9am to 5pm Mon to Fri - 2 days Remote Working Available Location: South East London Duration: 3 months on going contract Job Summary The candidate will play a key role in the delivery of the Trust Workforce Intelligence strategy. Working within the Workforce Intelligence and Systems Team, the pos... ",South East London
Carrington Recruitment Solutions Ltd,https://www.reed.co.uk/jobs/senior-data-insights-analyst-sql-server-powerbi-azure-mainly-remote/54642189,,30,386425,54642189,,"Senior Data Insights Analyst, SQL Server, PowerBI, Azure Mainly Remote",45000.0,24/04/2025,13/03/2025,40000.0,GBP,"Senior Data Insights Analyst, Power BI, SQL Server, Please Read B4 Applying! Remote Senior Data Insights Analyst required to work for a fast growing company in Central London. However, this is a remote role and you will only have to pop into the office circa once a month, subject to where you live. PLEASE READ IN FULL BEFORE APPLYING… The skills re Power BI, Power Query and SQL Server are extremely important, but so is the character / personalit... ",W21DY
Marc Daniels,https://www.reed.co.uk/jobs/business-analyst/54598379,,279,393766,54598379,,Business Analyst,45.0,17/04/2025,06/03/2025,40.0,GBP,"REMOTE TEMPORARY ROLE! We're looking for a talented and self-driven Business Analyst experienced working with Global HR projects involving multiple countries &amp; regions. Strong analytical &amp; problem-solving skills are needed along with prior knowledge of Workday or similar HRIS systems to join this fast-paced global company. This is a project-based role, looking for an immediate start and with an expected duration of 4 x months initially, ... ",London
Utility People,https://www.reed.co.uk/jobs/market-assurance-analyst-water/54605545,,6,351143,54605545,,Market Assurance Analyst (Water),32000.0,18/04/2025,07/03/2025,26000.0,GBP,"Location: Hybrid - Southampton (1 day per week in the office) Salary: 26k - 32k DOE Summary: We are looking for a Market Assurance Analyst to join a company that plays a key role in supporting competition within the non-household retail water market. As part of the Assurance team, you'll analyse market data , monitor performance, identify risks, audit companies for rule compliance, and suggest improvements. If you have strong word processing and... ",Southampton
Lorien,https://www.reed.co.uk/jobs/pmo-analyst-global-workstreams/54480382,,411,464685,54480382,,PMO Analyst - Global workstreams,,27/03/2025,13/02/2025,,,"PMO Analyst Global Workstreams My client in the Insurance Industry is searching for a PMO Analyst to work on a 6 month initial contract. They are looking for a candidate with experience of working on a group wide programme with Multiple workstreams. My client are seeking a detail-oriented PMO Analyst to support a large-scale, company-wide programme. The role will focus on maintaining governance structures, tracking programme progress, and ensuri... ",London
Profile Search & Selection Ltd,https://www.reed.co.uk/jobs/pensions-implementation-consultants-analysts-data-configuration-scheme-benefits-remote-working/52943125,,108,398340,52943125,,Pensions Implementation Consultants & Analysts - Data Configuration Scheme Benefits - Remote Working,45000.0,26/05/2025,24/06/2024,25000.0,GBP,"Juliette Lister and Lisa Tremlett are currently assisting a large TPA who are presently recruiting for their expanding implementation Teams working in Data, Configuration and Scheme Benefits This is a Profile Search and Selection vacancy who are operating as an Employment Agency. In order to apply for this position candidates MUST have DB PENSIONS IMPLEMENTATION EXPERIENCE. Please note as we receive a high volume of applications we are only able... ",S110FQ
Harnham - Data & Analytics Recruitment,https://www.reed.co.uk/jobs/cro-analyst-remote-contract/54442058,,143,331522,54442058,,CRO Analyst - Remote - Contract,150.0,21/03/2025,07/02/2025,100.0,GBP,"CRO Analyst - Experimentation - Contract 100- 150 per day Remote - can be based in Poland, Bulgaria or Romania Agency We are seeking skilled CRO Analysts (or CRO Managers) on a contract basis to support an exciting experimentation and optimisation program for a major global client. The client is UK based and looking for support from contractors based in Romania, Bulgaria, or Poland and require strong data-driven expertise in A/B testing and expe... ",London
